Latitude,Longitude,Location
18.649948,73.78195,"PCMC Akurdi Hospital Khandoba Mal, Akurdi Pune 35"
18.62045,73.84784,"gavane vasti , In front of Bhaji mandai , bhosari 39"
18.61867,73.80271,PIMPRI SAI CHAWK NEWAR GURUDWARA PIMPRI PUNE-17
18.575456,73.82057,"Dhore nagar ,old sangvi"
18.62633,73.78461,"NEW TALERAHOSPITAL, TANAJINAGAR, CHINCHWADGAON, PUNE - 33"
18.606866,73.768544,"Gujar Nagar,Near water tank ,thergaon.-33."
18.66935,73.77749,"Azad chauk, sector 22,yamunanagar.Nigadi,pune44"
18.621689,73.821043,"sant tukaram nagar , pimpri"
18.641293,73.79603,"at Opp. MIDC Office, Chinchwad Station, Chinchwad"
18.583776,73.853885,"near maruti mandir , bopkhel"
18.626855,73.797739,Bhatnagar Link road pcmc pimpri 17
18.667576,73.805976,"Spine Road, Gharkul Vasahat, Gharkul Chikhali, Pune 411052"
18.653836,73.907407,"bhosale vasti , near pandit jawaharal nehru school PCMC"
18.580364,73.827397,Bombaycolony Dapodi
18.613098,73.872557,"dighi, jakat naka , dighi"
18.65016,73.79906,"AHILYABAI HOLKAR DAWAKHANA DATTANAGAR 411019,"
18.616048,73.787595,"near hanuman mandir bus stop, kalewadi"
18.62651,73.81135,near podar international school balbhavan kharalwadi
18.65709,73.72255,"Bapdeo primary highschool campus, kiwale village, kiwale"
18.66944,73.79358,mhetrevasti davakhana chikhali
18.67611,73.84984,"near Moshi police chowki, moshi"
18.632142,73.82121,Near Pcmc Godawn Neharunagar
18.59073,73.83087,Near Duttmandir
18.59126,73.81867,kashid nagar.opp dinosor garden pimple gurav
18.5712,73.794855,babaji pandu Bhade building  pimple nilakh water tank near
18.60105,73.80182,"INFRONT OF ANNASAHEB MAGAR VIDYALAYA, PIMPLE SAUDAGAR GAOTHAN"
18.6152,73.80318,dr babasaheb ambedkar disp pimpri waghere nr shivaji putala pimprigaon pune 411017
18.65671,73.767088,sec.25.L.I.G.nigadi
18.63873,73.78169,"Premlok Park, Chinchwad"
18.676935,73.779987,near Thakare school
18.637793,73.744809,"Near Municipal School, Sameer Bhujbal Chowk, At Post. Punawale"
18.66156,73.80127,"Sai Umbrella Garden,Sambhajinagar Chinchwad, Pune 411019"
18.63428,73.75874,"Walhekarwadi, Chinchwad"
18.641325,73.77421,SUKHNAGARI BIJLINAGAR
18.629174,73.77983,"Slum Dept. Office, Chinchwad Gaon"
18.64021,73.80001,"Science Park,Pimpri"
18.62825,73.80756,Lokhande Bhavan
18.628328,73.804434,PCMC Head Office
18.638844,73.800917,Auto Cluster
18.650608,73.928062,Charholi Sewage Water Treatment Plant
18.658666,73.777096,COC
18.62236,73.819315,Acharya Aatre Rangmandir
18.633678,73.787202,"Ram Krishna More Auditorium, Chinchwad"
18.626198,73.85173,"Ankush Rao Landge Auditorium, Bhosari"
18.583824,73.815746,Nilu Phule Auditorium
18.633005,73.778401,Fatehchand Jain Junior College
18.57702,73.80921,B.R.Gholap Collage
18.623344,73.815651,"DY Patil College of Engineering, Pimpri"
18.648405,73.775285,Mahlasakant College of Art SCIENCE & Commerce
18.623831,73.856425,Kai. Sakhubai Gabaji Gavali (Bhosle) Park
18.62654,73.850276,Bhosari Picnic center
18.620706,73.846909,Late Sitaram Bhaguji Londhe Park
18.635197,73.825209,Yashwantrao Chavan Rose Garden
18.620879,73.789763,Jyotiba Park kalewadi
18.633676,73.806746,Late Mrs. Deubai alias Nani Narayan Kapase Park
18.632224,73.787642,Shridhar Nagar Park
18.605809,73.799075,Jagadguru Swananda Sukhanivasi Jog Maharaj Park
18.664576,73.801147,Shivaji Park Peth No. 18 Joging Track
18.667497,73.793504,Sai Krishna Park Krishna nagar
18.665475,73.780148,Muktai Park
18.642593,73.773744,Rajshri Shahu Park
18.639217,73.78056,Swatantravira Savarkar Park (Premaloka Park)
18.6273,73.778906,Parvati and Morya Park Park
18.588136,73.759667,Sant Savata Mali Garden
18.62394,73.76821,Boat Club Garden
18.661063,73.799158,Bahinabai Chowdhury Snake Park
18.661296,73.794891,Sai Garden Sambhaji Nagar
18.658074,73.804588,Sivasahu Sambho Park
18.65697,73.800665,Bird Valley
18.64449,73.791813,Late Shankar Shetty Park
18.666321,73.76129,Durga Devi Park
18.664395,73.772021,Bhakti Shakti Udyan
18.656625,73.762308,Swatantra Vir Savarkar Park (Green Lake)
18.661592,73.771809,Dada Dadi Park
18.64679,73.773461,Sant Dnyaneshwar
18.651211,73.771539,Sant. Tukaram Maharaj Park
18.650874,73.768925,Rambag Garden
18.654309,73.808426,"Shahu Garden, Chinchwad"
