Relative_Path,Latitude,Longitude,Location
./img1.jpeg,18.649948,73.78195,"PCMC Akurdi Hospital Khandoba Mal, Akurdi Pune 35"
./img10.jpeg,18.62045,73.84784,"gavane vasti , In front of Bhaji mandai , bhosari 39"
./img100.jpg,18.61867,73.80271,PIMPRI SAI CHAWK NEWAR GURUDWARA PIMPRI PUNE-17
./img101.jpg,18.575456,73.82057,"Dhore nagar ,old sangvi"
./img11.jpeg,18.62633,73.78461,"NEW TALERAHOSPITAL, TANAJINAGAR, CHINCHWADGAON, PUNE - 33"
./img12.jpeg,18.606866,73.768544,"Gujar Nagar,Near water tank ,thergaon.-33."
./img13.jpeg,18.66935,73.77749,"Azad chauk, sector 22,yamunanagar.Nigadi,pune44"
./img14.jpeg,18.621689,73.821043,"sant tukaram nagar , pimpri"
./img15.jpeg,18.641293,73.79603,"at Opp. MIDC Office, Chinchwad Station, Chinchwad"
./img16.jpeg,18.583776,73.853885,"near maruti mandir , bopkhel"
./img17.jpeg,18.626855,73.797739,Bhatnagar Link road pcmc pimpri 17
./img18.jpeg,18.667576,73.805976,"Spine Road, Gharkul Vasahat, Gharkul Chikhali, Pune 411052"
./img19.jpeg,18.653836,73.907407,"bhosale vasti , near pandit jawaharal nehru school PCMC"
./img2.jpeg,18.580364,73.827397,Bombaycolony Dapodi
./img20.jpeg,18.613098,73.872557,"dighi, jakat naka , dighi"
./img21.jpeg,18.65016,73.79906,"AHILYABAI HOLKAR DAWAKHANA DATTANAGAR 411019,"
./img22.jpeg,18.616048,73.787595,"near hanuman mandir bus stop, kalewadi"
./img23.jpeg,18.62651,73.81135,near podar international school balbhavan kharalwadi
./img24.jpeg,18.65709,73.72255,"Bapdeo primary highschool campus, kiwale village, kiwale"
./img25.jpeg,18.66944,73.79358,mhetrevasti davakhana chikhali
./img26.jpeg,18.67611,73.84984,"near Moshi police chowki, moshi"
./img27.jpeg,18.632142,73.82121,Near Pcmc Godawn Neharunagar
./img28.jpeg,18.59073,73.83087,Near Duttmandir
./img29.jpeg,18.59126,73.81867,kashid nagar.opp dinosor garden pimple gurav
./img3.jpeg,18.5712,73.794855,babaji pandu Bhade building  pimple nilakh water tank near
./img30.jpeg,18.60105,73.80182,"INFRONT OF ANNASAHEB MAGAR VIDYALAYA, PIMPLE SAUDAGAR GAOTHAN"
./img31.jpeg,18.6152,73.80318,dr babasaheb ambedkar disp pimpri waghere nr shivaji putala pimprigaon pune 411017
./img32.jpeg,18.65671,73.767088,sec.25.L.I.G.nigadi
./img33.jpeg,18.63873,73.78169,"Premlok Park, Chinchwad"
./img34.jpeg,18.676935,73.779987,near Thakare school
./img35.jpeg,18.637793,73.744809,"Near Municipal School, Sameer Bhujbal Chowk, At Post. Punawale"
./img36.jpeg,18.66156,73.80127,"Sai Umbrella Garden,Sambhajinagar Chinchwad, Pune 411019"
./img37.jpeg,18.63428,73.75874,"Walhekarwadi, Chinchwad"
./img38.jpeg,18.641325,73.77421,SUKHNAGARI BIJLINAGAR
./img39.jpeg,18.629174,73.77983,"Slum Dept. Office, Chinchwad Gaon"
./img4.jpeg,18.64021,73.80001,"Science Park,Pimpri"
./img40.jpeg,18.62825,73.80756,Lokhande Bhavan
./img41.jpeg,18.628328,73.804434,PCMC Head Office
./img42.jpeg,18.638844,73.800917,Auto Cluster
./img43.jpeg,18.650608,73.928062,Charholi Sewage Water Treatment Plant
./img44.jpeg,18.658666,73.777096,COC
./img45.jpeg,18.62236,73.819315,Acharya Aatre Rangmandir
./img46.jpeg,18.633678,73.787202,"Ram Krishna More Auditorium, Chinchwad"
./img47.jpeg,18.626198,73.85173,"Ankush Rao Landge Auditorium, Bhosari"
./img48.jpeg,18.583824,73.815746,Nilu Phule Auditorium
./img49.jpeg,18.633005,73.778401,Fatehchand Jain Junior College
